count,roblas-bench command
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 10728 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
144,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 10728 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
144,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 10728 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
144,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 10992 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
144,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 11592 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
144,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 11592 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
144,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 11592 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
144,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 11328 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
144,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 10200 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 10848 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 9648 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 11928 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 11832 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 10704 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 10392 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 10776 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 9552 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 10848 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 10392 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 9552 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 10992 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 11328 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 10392 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 11904 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 7824 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 10848 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 11856 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 9648 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 11280 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 11328 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 10200 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 9552 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 10776 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 12072 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 11928 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 7824 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 10200 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
96,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 11280 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
