count,roblas-bench command
480,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3576 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
384,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3888 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
384,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3576 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
384,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 4064 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
384,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 2976 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
384,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3888 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
384,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3776 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
384,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 2976 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
384,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3888 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
384,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3576 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
384,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 2976 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3944 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3920 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3544 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3776 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3472 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3488 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 4048 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3776 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3936 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3544 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 4048 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3488 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3904 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 4064 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3904 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3904 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3856 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3936 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 4064 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3856 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3544 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3488 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3936 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 4080 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3304 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 4024 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 4048 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
288,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3856 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
216,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 447 -k 447 --alpha 1 --lda 8192 --stride_a 64 --ldb 447 --stride_b 199809 --beta 0 --ldc 64 --stride_c 28608 --batch 128
216,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 447 -n 447 -k 64 --alpha 1 --lda 8192 --stride_a 64 --ldb 8192 --stride_b 64 --beta 0 --ldc 447 --stride_c 199809 --batch 128
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3944 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3912 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3032 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 2800 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 1992 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 4040 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 4024 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3792 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3808 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3400 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 2592 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3384 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3840 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 1992 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3184 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 486 -n 486 -k 64 --alpha 1 --lda 8192 --stride_a 64 --ldb 8192 --stride_b 64 --beta 0 --ldc 486 --stride_c 236196 --batch 128
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3192 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 2592 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3224 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3720 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3472 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 2832 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3552 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3368 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3608 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3032 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3384 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3792 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3624 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 2712 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3920 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3944 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3384 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3992 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3912 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3352 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3824 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3720 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3792 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 1992 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
